gap_mm,magnet_thickness_mm,current_A,stator_OD_mm,magnet_inner_diameter_mm,magnet_seat_diameter_mm,rotor_OD_mm,turns,torque_Nm,torque_mNm,Bgap_peak_T,Bgap_average_T
0.9,1.5,2,38.5,40.3,43.3,48.9,20,0.002609886697344658,2.609886697344658,0.3820036885715279,0.261857726405746
0.9,1.5,3,38.5,40.3,43.3,48.9,20,0.003914832298399493,3.914832298399493,0.3825423559333298,0.2618709677463186
0.9,2,1,38.5,40.3,44.3,49.9,20,0.001604542347958056,1.604542347958056,0.4506474219017903,0.3180185387210013
0.9,2,2,38.5,40.3,44.3,49.9,20,0.003209096142972528,3.209096142972528,0.4506213025335055,0.3180312701353025
0.9,2,3,38.5,40.3,44.3,49.9,20,0.004813661388509634,4.813661388509634,0.4505960066800577,0.3180444680336664
0.9,2.5,1,38.5,40.3,45.3,50.9,20,0.001855826709989898,1.855826709989898,0.4916515217477721,0.3648451853351792
0.9,2.5,2,38.5,40.3,45.3,50.9,20,0.003711678904282928,3.711678904282928,0.4917313961745596,0.3648575333084096
0.9,2.5,3,38.5,40.3,45.3,50.9,20,0.005567556580617744,5.567556580617744,0.4918112979161691,0.3648702761221907
0.9,3,1,38.5,40.3,46.3,51.9,20,0.002064927281613438,2.064927281613438,0.5463668034472289,0.4035684879203267
0.9,3,2,38.5,40.3,46.3,51.9,20,0.004129874450418554,4.129874450418554,0.5467540254415699,0.4035803756928241
0.9,3,3,38.5,40.3,46.3,51.9,20,0.006194841503186973,6.194841503186972,0.5471415085483989,0.4035926154111215
0.95,1.5,1,38.5,40.4,43.4,49,20,0.001280521046395876,1.280521046395876,0.3750214540223006,0.2581810172653916
0.95,1.5,2,38.5,40.4,43.4,49,20,0.002561042744938952,2.561042744938952,0.3755546871234256,0.2581934651282976
0.95,1.5,3,38.5,40.4,43.4,49,20,0.003841565103796935,3.841565103796935,0.3760881048166549,0.2582065015001253
0.95,2,1,38.5,40.4,44.4,50,20,0.001575433436097828,1.575433436097828,0.4334722204824337,0.3135234646427674
0.95,2,2,38.5,40.4,44.4,50,20,0.003150877032815669,3.150877032815669,0.4332666525516689,0.3135361275044446
0.95,2,3,38.5,40.4,44.4,50,20,0.004726330790381917,4.726330790381917,0.4330611325065518,0.3135492575610381
0.95,2.5,1,38.5,40.4,45.4,51,20,0.001820948780918953,1.820948780918953,0.4784750041918389,0.3603946930439766
0.95,2.5,2,38.5,40.4,45.4,51,20,0.003641926933391616,3.641926933391616,0.4784008749271707,0.3604075064536294
0.95,2.5,3,38.5,40.4,45.4,51,20,0.00546293443155959,5.462934431559591,0.4783267468501484,0.3604207078481797
0.95,3,1,38.5,40.4,46.4,52,20,0.002026930415624987,2.026930415624987,0.533786927452921,0.3985105592714617
0.95,3,2,38.5,40.4,46.4,52,20,0.00405388100971879,4.05388100971879,0.534166965355466,0.3985222964985779
0.95,3,3,38.5,40.4,46.4,52,20,0.006080851782483385,6.080851782483386,0.5345472738446592,0.3985343803294525
1,1.5,1,38.5,40.5,43.5,49.1,20,0.001257571257691474,1.257571257691474,0.3615076477762304,0.255038475750086
1,1.5,2,38.5,40.5,43.5,49.1,20,0.002515146411229685,2.515146411229685,0.3620242593275729,0.2550518341550369
1,1.5,3,38.5,40.5,43.5,49.1,20,0.003772725460028486,3.772725460028486,0.3625408790305967,0.2550657754014676
1,2,1,38.5,40.5,44.5,50.1,20,0.00154567175085573,1.54567175085573,0.4319925493368579,0.3098735743601976
1,2,2,38.5,40.5,44.5,50.1,20,0.003091351201711757,3.091351201711757,0.4314088662529175,0.3098863941901721
1,2,3,38.5,40.5,44.5,50.1,20,0.00463703835317074,4.637038353170739,0.4308252435547744,0.3098996727759483
1,2.5,1,38.5,40.5,45.5,51.1,20,0.001787102375253989,1.787102375253989,0.4706654527539367,0.355768138729248
1,2.5,2,38.5,40.5,45.5,51.1,20,0.003574232463952707,3.574232463952707,0.4711772610857049,0.3557796857640711
1,2.5,3,38.5,40.5,45.5,51.1,20,0.005361390268225516,5.361390268225517,0.4716890754799606,0.3557916208588945
1,3,1,38.5,40.5,46.5,52.1,20,0.001989355594942634,1.989355594942634,0.5200569804276486,0.3939545178638789
1,3,2,38.5,40.5,46.5,52.1,20,0.003978731091242424,3.978731091242425,0.5204638239157794,0.3939660160918851
1,3,3,38.5,40.5,46.5,52.1,20,0.005968126482618208,5.968126482618208,0.5208710235136853,0.3939778559758078
1.1,1.5,1,38.5,40.7,43.7,49.3,20,0.001211118799024546,1.211118799024546,0.3473341651899857,0.2484359709999905
1.1,1.5,2,38.5,40.7,43.7,49.3,20,0.002422240888723506,2.422240888723506,0.3478578781703927,0.2484480745181891
1.1,1.5,3,38.5,40.7,43.7,49.3,20,0.003633366260054821,3.633366260054821,0.3483817784876426,0.2484607444899577
1.1,2,1,38.5,40.7,44.7,50.3,20,0.001489856327716814,1.489856327716814,0.4069597918415522,0.3020461042728913
1.1,2,2,38.5,40.7,44.7,50.3,20,0.002979720626235299,2.979720626235299,0.4073465760978412,0.3020581794976262
1.1,2,3,38.5,40.7,44.7,50.3,20,0.004469592897333606,4.469592897333606,0.4077338374959671,0.3020707020429742
1.1,2.5,1,38.5,40.7,45.7,51.3,20,0.001722545400621193,1.722545400621193,0.4563976592625466,0.3472289960073804
1.1,2.5,2,38.5,40.7,45.7,51.3,20,0.003445117138671907,3.445117138671908,0.4567907025608752,0.3472402982657155
1.1,2.5,3,38.5,40.7,45.7,51.3,20,0.005167715268312367,5.167715268312367,0.4571841598363409,0.3472519779705059
1.1,3,1,38.5,40.7,46.7,52.3,20,0.001918910253859131,1.918910253859131,0.498291635679575,0.3843341794614197
1.1,3,2,38.5,40.7,46.7,52.3,20,0.003837838745314471,3.837838745314471,0.4987004513951736,0.3843452729878623
1.1,3,3,38.5,40.7,46.7,52.3,20,0.005756785474555464,5.756785474555464,0.4991096195090914,0.3843567004017071
1.2,1.5,1,38.5,40.9,43.9,49.5,20,0.00116681088207606,1.16681088207606,0.3309122469445947,0.2427743142730361
1.2,1.5,2,38.5,40.9,43.9,49.5,20,0.002333623021761135,2.333623021761135,0.3314242442266499,0.2427865296638318
1.2,1.5,3,38.5,40.9,43.9,49.5,20,0.003500436414250023,3.500436414250023,0.3319364422883054,0.2427992945382159
1.2,2,1,38.5,40.9,44.9,50.5,20,0.001435960273226577,1.435960273226577,0.393159137273279,0.2950476740037156
1.2,2,2,38.5,40.9,44.9,50.5,20,0.002871928163460498,2.871928163460498,0.3935487933667073,0.2950597498109819
1.2,2,3,38.5,40.9,44.9,50.5,20,0.004307903670220478,4.307903670220478,0.3939389081257926,0.2950722583243711
1.2,2.5,1,38.5,40.9,45.9,51.5,20,0.001660683601739139,1.660683601739139,0.4438895746782129,0.3397463207173733
1.2,2.5,2,38.5,40.9,45.9,51.5,20,0.003321395706212744,3.321395706212744,0.443872263435641,0.3397578447345365
1.2,2.5,3,38.5,40.9,45.9,51.5,20,0.004982136313420403,4.982136313420403,0.4438549761491996,0.3397697365157792
1.2,3,1,38.5,40.9,46.9,52.5,20,0.001851073455285731,1.851073455285731,0.4815542753234441,0.3760538618765569
1.2,3,2,38.5,40.9,46.9,52.5,20,0.003702165244754008,3.702165244754008,0.4821635758235702,0.3760642714121855
1.2,3,3,38.5,40.9,46.9,52.5,20,0.005553275357991224,5.553275357991224,0.4827729042277035,0.3760750061167874
1.3,1.5,1,38.5,41.1,44.1,49.7,20,0.001123958843526304,1.123958843526304,0.3184291456497256,0.2369081827707826
1.3,1.5,2,38.5,41.1,44.1,49.7,20,0.002247920907089366,2.247920907089366,0.318922681710463,0.2369208144692291
1.3,1.5,3,38.5,41.1,44.1,49.7,20,0.003371886190352469,3.371886190352469,0.3194162228902054,0.2369339844842781
1.3,2,1,38.5,41.1,45.1,50.7,20,0.00138426603549387,1.38426603549387,0.3803334980815228,0.2880501067848111
1.3,2,2,38.5,41.1,45.1,50.7,20,0.002768537795315506,2.768537795315506,0.3803171839141841,0.2880621355308358
1.3,2,3,38.5,41.1,45.1,50.7,20,0.004152815280288413,4.152815280288413,0.3804565376362483,0.2880745875501294
1.3,2.5,1,38.5,41.1,46.1,51.7,20,0.001601364184296889,1.601364184296889,0.4373015348344649,0.3323515156002218
1.3,2.5,2,38.5,41.1,46.1,51.7,20,0.003202756060784138,3.202756060784138,0.4377315883073658,0.3323627739351514
1.3,2.5,3,38.5,41.1,46.1,51.7,20,0.004804175659648763,4.804175659648763,0.4381617465906393,0.3323743904884316
1.3,3,1,38.5,41.1,47.1,52.7,20,0.001785405085074639,1.785405085074639,0.4696824813515831,0.367721049381634
1.3,3,2,38.5,41.1,47.1,52.7,20,0.003570828111398469,3.570828111398469,0.4702858115400634,0.3677312645110455
1.3,3,3,38.5,41.1,47.1,52.7,20,0.005356269089735116,5.356269089735116,0.4708891613857013,0.3677417966436637
1.4,1.5,1,38.5,41.3,44.3,49.9,20,0.001083283328309347,1.083283328309347,0.3095644551204629,0.2308810128541158
1.4,1.5,2,38.5,41.3,44.3,49.9,20,0.002166572147130509,2.166572147130509,0.3099505041377502,0.2308933101956766
1.4,1.5,3,38.5,41.3,44.3,49.9,20,0.003249866455677584,3.249866455677585,0.310337093014686,0.2309061332565052
1.4,2,1,38.5,41.3,45.3,50.9,20,0.001334108016859602,1.334108016859602,0.3690282275378112,0.2820073558510965
1.4,2,2,38.5,41.3,45.3,50.9,20,0.002668223641240879,2.668223641240878,0.3691134711941869,0.2820187425536991
1.4,2,3,38.5,41.3,45.3,50.9,20,0.004002346832942527,4.002346832942527,0.3695404936022763,0.2820305437133853
1.4,2.5,1,38.5,41.3,46.3,51.9,20,0.001544787351565137,1.544787351565137,0.4180363697749004,0.3241498877397978
1.4,2.5,2,38.5,41.3,46.3,51.9,20,0.003089601324289214,3.089601324289213,0.4180801002963918,0.3241602780185202
1.4,2.5,3,38.5,41.3,46.3,51.9,20,0.004634441924132113,4.634441924132113,0.4181238646250745,0.3241710201756497
1.4,3,1,38.5,41.3,47.3,52.9,20,0.001722668144524103,1.722668144524103,0.4502795451439034,0.3596822592973429
1.4,3,2,38.5,41.3,47.3,52.9,20,0.003445355555231911,3.44535555523191,0.4504553035319056,0.3596925476767646
1.4,3,3,38.5,41.3,47.3,52.9,20,0.005168062232159551,5.168062232159551,0.4507128534823483,0.359703148463196
1.5,1.5,1,38.5,41.5,44.5,50.1,20,0.001044177963823663,1.044177963823663,0.3001951928413533,0.225032707397567
1.5,1.5,2,38.5,41.5,44.5,50.1,20,0.002088362860757882,2.088362860757882,0.3000627475185035,0.2250446063863145
1.5,1.5,3,38.5,41.5,44.5,50.1,20,0.003132554690512353,3.132554690512353,0.2999304532788107,0.2250570189835276
1.5,2,1,38.5,41.5,45.5,51.1,20,0.001286844410761179,1.286844410761179,0.3592322197723379,0.2751392654350117
1.5,2,2,38.5,41.5,45.5,51.1,20,0.002573697391706007,2.573697391706007,0.3596544594670753,0.2751505658103581
1.5,2,3,38.5,41.5,45.5,51.1,20,0.003860559010641318,3.860559010641318,0.3600768031589454,0.2751622770995504
1.5,2.5,1,38.5,41.5,46.5,52.1,20,0.001489665717226098,1.489665717226098,0.4044582984580501,0.3169413805624046
1.5,2.5,2,38.5,41.5,46.5,52.1,20,0.002979360457892011,2.979360457892011,0.4050135292001408,0.3169511900138651
1.5,2.5,3,38.5,41.5,46.5,52.1,20,0.004469084240742206,4.469084240742205,0.4055978910704542,0.3169613397386787
1.5,3,1,38.5,41.5,47.5,53.1,20,0.00166278432203819,1.66278432203819,0.4432224131642008,0.3520928590587084
1.5,3,2,38.5,41.5,47.5,53.1,20,0.00332558772304144,3.32558772304144,0.4435606049557699,0.3521023046926647
1.5,3,3,38.5,41.5,47.5,53.1,20,0.004988410190724529,4.988410190724529,0.4438990068237932,0.3521120568188373
